rep_product_id,brand,model,category,capacity,variants,min_price,coupang_search_url,coupang_url
412,백컨트리,재너두 2P 스탠다드,백패킹텐트,2,1,462700,https://www.coupang.com/np/search?q=%EB%B0%B1%EC%BB%A8%ED%8A%B8%EB%A6%AC+%EC%9E%AC%EB%84%88%EB%91%90+2P+%EC%8A%A4%ED%83%A0%EB%8B%A4%EB%93%9C,https://link.coupang.com/a/ewv02ugZ3s
271,블랙다이아몬드,스카이라이트,백패킹텐트,3,1,696600,https://www.coupang.com/np/search?q=%EB%B8%94%EB%9E%99%EB%8B%A4%EC%9D%B4%EC%95%84%EB%AA%AC%EB%93%9C+%EC%8A%A4%EC%B9%B4%EC%9D%B4%EB%9D%BC%EC%9D%B4%ED%8A%B8,https://link.coupang.com/a/ewv3h0JIPc
87,스노우라인,2020 쉘터돔 2P 텐트,백패킹텐트,2,1,150000,https://www.coupang.com/np/search?q=%EC%8A%A4%EB%85%B8%EC%9A%B0%EB%9D%BC%EC%9D%B8+2020+%EC%89%98%ED%84%B0%EB%8F%94+2P+%ED%85%90%ED%8A%B8,https://link.coupang.com/a/ewv9m7xF24
58,스노우라인,알파인 라이트 2,백패킹텐트,2,1,156080,https://www.coupang.com/np/search?q=%EC%8A%A4%EB%85%B8%EC%9A%B0%EB%9D%BC%EC%9D%B8+%EC%95%8C%ED%8C%8C%EC%9D%B8+%EB%9D%BC%EC%9D%B4%ED%8A%B8+2,https://link.coupang.com/a/ewwaGhx1I4
104,스노우라인,알파인 코트 텐트,백패킹텐트,1,1,140000,https://www.coupang.com/np/search?q=%EC%8A%A4%EB%85%B8%EC%9A%B0%EB%9D%BC%EC%9D%B8+%EC%95%8C%ED%8C%8C%EC%9D%B8+%EC%BD%94%ED%8A%B8+%ED%85%90%ED%8A%B8,https://link.coupang.com/a/ewwbBPyC5s
144,씨투써밋,아이코스 TR2 텐트,백패킹텐트,2,1,435400,https://www.coupang.com/np/search?q=%EC%94%A8%ED%88%AC%EC%8D%A8%EB%B0%8B+%EC%95%84%EC%9D%B4%EC%BD%94%EC%8A%A4+TR2+%ED%85%90%ED%8A%B8,https://link.coupang.com/a/ewwhJArW9c
193,씨투써밋,아이코스 TR3 텐트,백패킹텐트,3,1,532000,https://www.coupang.com/np/search?q=%EC%94%A8%ED%88%AC%EC%8D%A8%EB%B0%8B+%EC%95%84%EC%9D%B4%EC%BD%94%EC%8A%A4+TR3+%ED%85%90%ED%8A%B8,https://link.coupang.com/a/ewwi1jSeAu
118,씨투써밋,알토 TR1 UL,백패킹텐트,1,2,443800,https://www.coupang.com/np/search?q=%EC%94%A8%ED%88%AC%EC%8D%A8%EB%B0%8B+%EC%95%8C%ED%86%A0+TR1+UL,https://link.coupang.com/a/ewwj0l4tuS
316,씨투써밋,알토 TR1 플러스 UL,백패킹텐트,1,2,485100,https://www.coupang.com/np/search?q=%EC%94%A8%ED%88%AC%EC%8D%A8%EB%B0%8B+%EC%95%8C%ED%86%A0+TR1+%ED%94%8C%EB%9F%AC%EC%8A%A4+UL,https://link.coupang.com/a/ewwlbTSKZg
277,씨투써밋,알토 TR2 UL,백패킹텐트,2,2,543200,https://www.coupang.com/np/search?q=%EC%94%A8%ED%88%AC%EC%8D%A8%EB%B0%8B+%EC%95%8C%ED%86%A0+TR2+UL,https://link.coupang.com/a/ewwl92HsQu
61,씨투써밋,알토 TR2 플러스 UL,백패킹텐트,2,2,562100,https://www.coupang.com/np/search?q=%EC%94%A8%ED%88%AC%EC%8D%A8%EB%B0%8B+%EC%95%8C%ED%86%A0+TR2+%ED%94%8C%EB%9F%AC%EC%8A%A4+UL,https://link.coupang.com/a/ewwnbn3An7
166,씨투써밋,텔러스 TR2,백패킹텐트,2,2,590100,https://www.coupang.com/np/search?q=%EC%94%A8%ED%88%AC%EC%8D%A8%EB%B0%8B+%ED%85%94%EB%9F%AC%EC%8A%A4+TR2,https://link.coupang.com/a/ewwoRbKLsa
167,씨투써밋,텔러스 TR2 플러스,백패킹텐트,2,1,728000,https://www.coupang.com/np/search?q=%EC%94%A8%ED%88%AC%EC%8D%A8%EB%B0%8B+%ED%85%94%EB%9F%AC%EC%8A%A4+TR2+%ED%94%8C%EB%9F%AC%EC%8A%A4,https://link.coupang.com/a/ewwp438Vd6
220,씨투써밋,텔러스 TR3,백패킹텐트,3,1,749700,https://www.coupang.com/np/search?q=%EC%94%A8%ED%88%AC%EC%8D%A8%EB%B0%8B+%ED%85%94%EB%9F%AC%EC%8A%A4+TR3,https://link.coupang.com/a/ewwqIuoOhE
